Year,Month,Decimal Date,Carbon Dioxide (ppm),Seasonally Adjusted CO2 (ppm)
1972,8,1972.623,326.32,327.65
1972,9,1972.7077,324.84,327.86
1972,10,1972.7896,325.2,328.32
1972,11,1972.8743,326.5,328.46
1972,12,1972.9563,327.55,328.37
1973,1,1973.0411,328.55,328.53
1973,2,1973.126,329.56,328.92
1973,3,1973.2027,330.3,328.95
1973,4,1973.2877,331.5,329.07
1973,5,1973.3699,332.48,329.55
1973,6,1973.4548,332.07,329.85
1973,7,1973.537,330.87,330.14
1973,8,1973.6219,329.31,330.62
1973,9,1973.7068,327.51,330.53
1973,10,1973.789,327.18,330.32
1973,11,1973.874,328.16,330.14
1973,12,1973.9562,328.64,329.46
1974,1,1974.0411,329.35,329.33
1974,2,1974.126,330.71,330.07
1974,3,1974.2027,331.48,330.13
1974,4,1974.2877,332.65,330.2
1974,5,1974.3699,333.09,330.14
1974,6,1974.4548,332.25,330.02
1974,7,1974.537,331.18,330.45
1974,8,1974.6219,329.39,330.71
1974,9,1974.7068,327.43,330.46
1974,10,1974.789,327.37,330.52
1974,11,1974.874,328.46,330.44
1974,12,1974.9562,329.57,330.39
1975,1,1975.0411,330.4,
1975,2,1975.126,331.4,330.76
1975,3,1975.2027,332.04,330.68
1975,4,1975.2877,333.31,330.86
1975,5,1975.3699,333.97,331.02
1975,6,1975.4548,333.6,331.36
1975,7,1975.537,331.9,331.17
1975,8,1975.6219,330.06,331.38
1975,9,1975.7068,328.56,331.6
1975,10,1975.789,328.34,331.5
1975,11,1975.874,329.49,331.48
1975,12,1975.9562,330.76,331.59
1976,1,1976.041,331.75,331.73
1976,2,1976.1257,332.56,331.92
1976,3,1976.2049,333.5,332.11
1976,4,1976.2896,334.58,332.1
1976,5,1976.3716,334.88,331.92
1976,6,1976.4563,334.34,332.11
1976,7,1976.5383,333.05,332.34
1976,8,1976.623,330.94,332.29
1976,9,1976.7077,329.3,332.37
1976,10,1976.7896,328.94,332.1
1976,11,1976.8743,330.31,332.3
1976,12,1976.9563,331.68,332.51
1977,1,1977.0411,332.93,332.91
1977,2,1977.126,333.42,332.77
1977,3,1977.2027,334.7,333.33
1977,4,1977.2877,336.07,333.6
1977,5,1977.3699,336.75,333.77
1977,6,1977.4548,336.27,334.01
1977,7,1977.537,334.92,334.18
1977,8,1977.6219,332.75,334.08
1977,9,1977.7068,331.59,334.65
1977,10,1977.789,331.16,334.34
1977,11,1977.874,332.4,334.41
1977,12,1977.9562,333.85,334.68
1978,1,1978.0411,334.97,334.95
1978,2,1978.126,335.38,334.74
1978,3,1978.2027,336.64,335.27
1978,4,1978.2877,337.76,335.28
1978,5,1978.3699,338.01,335.03
1978,6,1978.4548,337.89,335.63
1978,7,1978.537,336.54,335.8
1978,8,1978.6219,334.68,336.02
1978,9,1978.7068,332.76,335.83
1978,10,1978.789,332.55,335.74
1978,11,1978.874,333.92,335.93
1978,12,1978.9562,334.95,335.78
1979,1,1979.0411,336.23,336.21
1979,2,1979.126,336.76,336.11
1979,3,1979.2027,337.96,336.58
1979,4,1979.2877,338.89,336.4
1979,5,1979.3699,339.47,336.48
1979,6,1979.4548,339.29,337.02
1979,7,1979.537,337.73,336.99
1979,8,1979.6219,336.08,337.43
1979,9,1979.7068,,337
1979,10,1979.789,333.86,337.07
1979,11,1979.874,335.29,337.31
1979,12,1979.9562,336.73,337.57
1980,1,1980.041,338.01,338
1980,2,1980.1257,338.36,337.71
1980,3,1980.2049,340.07,338.67
1980,4,1980.2896,340.77,338.25
1980,5,1980.3716,341.47,338.46
1980,6,1980.4563,341.17,338.91
1980,7,1980.5383,339.56,338.84
1980,8,1980.623,337.6,338.97
1980,9,1980.7077,335.88,338.99
1980,10,1980.7896,336.02,339.23
1980,11,1980.8743,337.1,339.12
1980,12,1980.9563,338.21,339.05
1981,1,1981.0411,339.24,339.22
1981,2,1981.126,340.48,339.82
1981,3,1981.2027,341.38,339.99
1981,4,1981.2877,342.51,340
1981,5,1981.3699,342.91,339.89
1981,6,1981.4548,342.25,339.96
1981,7,1981.537,340.49,339.74
1981,8,1981.6219,338.43,339.78
1981,9,1981.7068,336.69,339.8
1981,10,1981.789,336.86,340.08
1981,11,1981.874,338.36,340.4
1981,12,1981.9562,339.61,340.45
1982,1,1982.0411,340.75,340.73
1982,2,1982.126,341.61,340.95
1982,3,1982.2027,342.7,341.31
1982,4,1982.2877,343.57,341.05
1982,5,1982.3699,344.14,341.11
1982,6,1982.4548,343.35,341.05
1982,7,1982.537,342.06,341.31
1982,8,1982.6219,339.81,341.17
1982,9,1982.7068,337.98,341.1
1982,10,1982.789,337.86,341.1
1982,11,1982.874,339.26,341.31
1982,12,1982.9562,340.49,341.33
1983,1,1983.0411,341.38,341.36
1983,2,1983.126,342.52,341.86
1983,3,1983.2027,343.1,341.7
1983,4,1983.2877,344.94,342.42
1983,5,1983.3699,345.76,342.72
1983,6,1983.4548,345.32,343.01
1983,7,1983.537,343.98,343.23
1983,8,1983.6219,342.38,343.74
1983,9,1983.7068,339.87,342.99
1983,10,1983.789,339.99,343.24
1983,11,1983.874,341.15,343.2
1983,12,1983.9562,342.99,343.84
1984,1,1984.041,343.7,343.68
1984,2,1984.1257,344.5,343.84
1984,3,1984.2049,345.28,343.85
1984,4,1984.2896,347.07,344.51
1984,5,1984.3716,347.43,344.38
1984,6,1984.4563,346.8,344.5
1984,7,1984.5383,345.39,344.67
1984,8,1984.623,343.28,344.67
1984,9,1984.7077,341.07,344.22
1984,10,1984.7896,341.35,344.6
1984,11,1984.8743,342.98,345.03
1984,12,1984.9563,344.22,345.07
1985,1,1985.0411,344.97,344.95
1985,2,1985.126,345.99,345.33
1985,3,1985.2027,347.43,346.02
1985,4,1985.2877,348.35,345.8
1985,5,1985.3699,348.93,345.87
1985,6,1985.4548,348.25,345.93
1985,7,1985.537,346.56,345.8
1985,8,1985.6219,344.68,346.04
1985,9,1985.7068,343.09,346.24
1985,10,1985.789,342.8,346.07
1985,11,1985.874,344.24,346.3
1985,12,1985.9562,345.56,346.41
1986,1,1986.0411,346.3,346.27
1986,2,1986.126,346.95,346.29
1986,3,1986.2027,347.85,346.44
1986,4,1986.2877,349.55,347
1986,5,1986.3699,350.21,347.14
1986,6,1986.4548,349.55,347.22
1986,7,1986.537,347.94,347.18
1986,8,1986.6219,345.9,347.27
1986,9,1986.7068,344.85,348.01
1986,10,1986.789,344.17,347.45
1986,11,1986.874,345.66,347.73
1986,12,1986.9562,346.9,347.76
1987,1,1987.0411,348.02,348
1987,2,1987.126,348.47,347.8
1987,3,1987.2027,349.41,348
1987,4,1987.2877,350.99,348.43
1987,5,1987.3699,351.85,348.76
1987,6,1987.4548,351.26,348.92
1987,7,1987.537,349.51,348.75
1987,8,1987.6219,348.1,349.48
1987,9,1987.7068,346.45,349.62
1987,10,1987.789,346.36,349.66
1987,11,1987.874,347.81,349.89
1987,12,1987.9562,348.96,349.82
1988,1,1988.041,350.43,350.41
1988,2,1988.1257,351.73,351.06
1988,3,1988.2049,352.22,350.77
1988,4,1988.2896,353.59,351
1988,5,1988.3716,354.22,351.13
1988,6,1988.4563,353.79,351.47
1988,7,1988.5383,352.38,351.64
1988,8,1988.623,350.43,351.84
1988,9,1988.7077,348.73,351.92
1988,10,1988.7896,348.88,352.19
1988,11,1988.8743,350.07,352.15
1988,12,1988.9563,351.34,352.2
1989,1,1989.0411,352.76,352.74
1989,2,1989.126,353.07,352.39
1989,3,1989.2027,353.68,352.25
1989,4,1989.2877,355.42,352.84
1989,5,1989.3699,355.67,352.57
1989,6,1989.4548,355.12,352.77
1989,7,1989.537,353.9,353.13
1989,8,1989.6219,351.67,353.06
1989,9,1989.7068,349.8,353
1989,10,1989.789,349.99,353.31
1989,11,1989.874,351.29,353.39
1989,12,1989.9562,352.52,353.39
1990,1,1990.0411,353.66,353.64
1990,2,1990.126,354.7,354.02
1990,3,1990.2027,355.38,353.95
1990,4,1990.2877,356.2,353.62
1990,5,1990.3699,357.16,354.05
1990,6,1990.4548,356.23,353.87
1990,7,1990.537,354.81,354.04
1990,8,1990.6219,352.91,354.3
1990,9,1990.7068,350.96,354.17
1990,10,1990.789,351.18,354.51
1990,11,1990.874,352.83,354.93
1990,12,1990.9562,354.21,355.08
1991,1,1991.0411,354.72,354.7
1991,2,1991.126,355.75,355.07
1991,3,1991.2027,357.16,355.72
1991,4,1991.2877,358.6,356
1991,5,1991.3699,359.34,356.21
1991,6,1991.4548,358.24,355.87
1991,7,1991.537,356.17,355.4
1991,8,1991.6219,354.02,355.41
1991,9,1991.7068,352.15,355.37
1991,10,1991.789,352.21,355.55
1991,11,1991.874,353.75,355.85
1991,12,1991.9562,354.99,355.86
1992,1,1992.041,355.99,355.96
1992,2,1992.1257,356.72,356.04
1992,3,1992.2049,357.81,356.34
1992,4,1992.2896,359.15,356.52
1992,5,1992.3716,359.66,356.53
1992,6,1992.4563,359.25,356.9
1992,7,1992.5383,357.02,356.27
1992,8,1992.623,355,356.43
1992,9,1992.7077,353.01,356.25
1992,10,1992.7896,353.31,356.65
1992,11,1992.8743,354.16,356.27
1992,12,1992.9563,355.4,356.27
1993,1,1993.0411,356.7,356.68
1993,2,1993.126,357.16,356.48
1993,3,1993.2027,358.38,356.93
1993,4,1993.2877,359.46,356.85
1993,5,1993.3699,360.28,357.13
1993,6,1993.4548,359.6,357.21
1993,7,1993.537,357.57,356.79
1993,8,1993.6219,355.52,356.93
1993,9,1993.7068,353.69,356.93
1993,10,1993.789,353.99,357.35
1993,11,1993.874,355.33,357.46
1993,12,1993.9562,356.8,357.68
1994,1,1994.0411,,358.35
1994,2,1994.126,358.91,358.22
1994,3,1994.2027,359.97,358.52
1994,4,1994.2877,361.27,358.64
1994,5,1994.3699,361.69,358.53
1994,6,1994.4548,360.94,358.55
1994,7,1994.537,359.55,358.76
1994,8,1994.6219,357.48,358.89
1994,9,1994.7068,355.84,359.09
1994,10,1994.789,356,359.37
1994,11,1994.874,357.58,359.71
1994,12,1994.9562,359.04,359.92
1995,1,1995.0411,359.97,359.95
1995,2,1995.126,361,360.31
1995,3,1995.2027,361.64,360.18
1995,4,1995.2877,363.45,360.82
1995,5,1995.3699,363.8,360.63
1995,6,1995.4548,363.26,360.86
1995,7,1995.537,361.9,361.11
1995,8,1995.6219,359.45,360.87
1995,9,1995.7068,358.05,361.31
1995,10,1995.789,357.76,361.14
1995,11,1995.874,359.56,361.7
1995,12,1995.9562,360.7,361.58
1996,1,1996.041,362.05,362.03
1996,2,1996.1257,363.24,362.56
1996,3,1996.2049,364.02,362.53
1996,4,1996.2896,364.72,362.05
1996,5,1996.3716,365.41,362.24
1996,6,1996.4563,364.97,362.58
1996,7,1996.5383,363.65,362.89
1996,8,1996.623,361.48,362.93
1996,9,1996.7077,359.45,362.73
1996,10,1996.7896,359.61,363
1996,11,1996.8743,360.76,362.89
1996,12,1996.9563,362.33,363.21
1997,1,1997.0411,363.18,363.16
1997,2,1997.126,363.99,363.3
1997,3,1997.2027,364.56,363.1
1997,4,1997.2877,366.36,363.71
1997,5,1997.3699,366.8,363.61
1997,6,1997.4548,365.63,363.21
1997,7,1997.537,364.47,363.68
1997,8,1997.6219,362.5,363.93
1997,9,1997.7068,360.19,363.47
1997,10,1997.789,360.77,364.18
1997,11,1997.874,362.43,364.58
1997,12,1997.9562,364.28,365.17
1998,1,1998.0411,365.33,365.31
1998,2,1998.126,366.15,365.45
1998,3,1998.2027,367.31,365.84
1998,4,1998.2877,368.61,365.96
1998,5,1998.3699,369.3,366.1
1998,6,1998.4548,368.88,366.45
1998,7,1998.537,367.64,366.84
1998,8,1998.6219,365.77,367.21
1998,9,1998.7068,363.9,367.2
1998,10,1998.789,364.24,367.65
1998,11,1998.874,365.46,367.62
1998,12,1998.9562,366.97,367.86
1999,1,1999.0411,368.15,368.13
1999,2,1999.126,368.87,368.17
1999,3,1999.2027,369.59,368.11
1999,4,1999.2877,371.14,368.47
1999,5,1999.3699,371,367.79
1999,6,1999.4548,370.35,367.92
1999,7,1999.537,369.27,368.47
1999,8,1999.6219,366.93,368.37
1999,9,1999.7068,364.64,367.94
1999,10,1999.789,365.13,368.56
1999,11,1999.874,366.68,368.84
1999,12,1999.9562,368.01,368.9
2000,1,2000.041,369.14,369.12
2000,2,2000.1257,369.46,368.76
2000,3,2000.2049,370.51,369
2000,4,2000.2896,371.66,368.96
2000,5,2000.3716,371.83,368.61
2000,6,2000.4563,371.69,369.28
2000,7,2000.5383,370.12,369.35
2000,8,2000.623,368.12,369.59
2000,9,2000.7077,366.62,369.95
2000,10,2000.7896,366.73,370.17
2000,11,2000.8743,368.29,370.46
2000,12,2000.9563,369.53,370.42
2001,1,2001.0411,370.28,370.26
2001,2,2001.126,371.5,370.79
2001,3,2001.2027,372.12,370.63
2001,4,2001.2877,,370.18
2001,5,2001.3699,374.02,370.79
2001,6,2001.4548,373.31,370.86
2001,7,2001.537,371.62,370.81
2001,8,2001.6219,369.55,371
2001,9,2001.7068,367.96,371.29
2001,10,2001.789,368.1,371.55
2001,11,2001.874,369.68,371.86
2001,12,2001.9562,371.24,372.14
2002,1,2002.0411,372.44,372.41
2002,2,2002.126,373.08,372.38
2002,3,2002.2027,373.52,372.03
2002,4,2002.2877,374.86,372.16
2002,5,2002.3699,375.55,372.31
2002,6,2002.4548,375.4,372.94
2002,7,2002.537,374.02,373.21
2002,8,2002.6219,371.48,372.93
2002,9,2002.7068,370.7,374.04
2002,10,2002.789,370.25,373.71
2002,11,2002.874,372.08,374.26
2002,12,2002.9562,373.78,374.69
2003,1,2003.0411,374.68,374.66
2003,2,2003.126,375.62,374.92
2003,3,2003.2027,376.11,374.61
2003,4,2003.2877,377.65,374.95
2003,5,2003.3699,378.35,375.1
2003,6,2003.4548,,375.66
2003,7,2003.537,376.61,375.8
2003,8,2003.6219,374.48,375.94
2003,9,2003.7068,372.98,376.33
2003,10,2003.789,373,376.48
2003,11,2003.874,374.34,376.54
2003,12,2003.9562,375.69,376.6
2004,1,2004.041,376.79,376.76
2004,2,2004.1257,377.36,376.65
2004,3,2004.2049,378.39,376.87
2004,4,2004.2896,380.5,377.76
2004,5,2004.3716,380.61,377.35
2004,6,2004.4563,379.55,377.1
2004,7,2004.5383,377.76,376.99
2004,8,2004.623,375.84,377.32
2004,9,2004.7077,374.05,377.42
2004,10,2004.7896,374.22,377.7
2004,11,2004.8743,375.84,378.04
2004,12,2004.9563,377.44,378.35
2005,1,2005.0411,378.34,378.31
2005,2,2005.126,379.61,378.9
2005,3,2005.2027,380.17,378.67
2005,4,2005.2877,382.05,379.33
2005,5,2005.3699,382.24,378.96
2005,6,2005.4548,382.08,379.6
2005,7,2005.537,380.67,379.85
2005,8,2005.6219,378.67,380.13
2005,9,2005.7068,376.42,379.79
2005,10,2005.789,376.8,380.3
2005,11,2005.874,378.31,380.51
2005,12,2005.9562,379.96,380.87
2006,1,2006.0411,381.37,381.34
2006,2,2006.126,382.02,381.3
2006,3,2006.2027,382.56,381.05
2006,4,2006.2877,384.37,381.64
2006,5,2006.3699,384.92,381.64
2006,6,2006.4548,384.03,381.54
2006,7,2006.537,382.28,381.47
2006,8,2006.6219,380.48,381.94
2006,9,2006.7068,378.81,382.19
2006,10,2006.789,379.06,382.57
2006,11,2006.874,380.14,382.35
2006,12,2006.9562,381.66,382.57
2007,1,2007.0411,382.58,382.56
2007,2,2007.126,383.71,383
2007,3,2007.2027,384.34,382.82
2007,4,2007.2877,386.23,383.49
2007,5,2007.3699,386.41,383.12
2007,6,2007.4548,385.87,383.37
2007,7,2007.537,384.45,383.63
2007,8,2007.6219,381.84,383.32
2007,9,2007.7068,380.86,
2007,10,2007.789,380.86,384.38
2007,11,2007.874,382.35,384.58
2007,12,2007.9562,383.61,384.53
2008,1,2008.041,385.07,385.05
2008,2,2008.1257,385.84,385.13
2008,3,2008.2049,385.83,384.29
2008,4,2008.2896,386.77,384
2008,5,2008.3716,388.51,385.21
2008,6,2008.4563,388.05,385.57
2008,7,2008.5383,386.25,385.46
2008,8,2008.623,384.08,385.59
2008,9,2008.7077,383.09,386.5
2008,10,2008.7896,382.78,386.31
2008,11,2008.8743,384.01,386.23
2008,12,2008.9563,385.11,386.03
2009,1,2009.0411,386.65,386.63
2009,2,2009.126,387.12,386.4
2009,3,2009.2027,388.51,386.99
2009,4,2009.2877,389.57,386.81
2009,5,2009.3699,390.16,386.85
2009,6,2009.4548,389.62,387.1
2009,7,2009.537,388.07,387.24
2009,8,2009.6219,386.08,387.57
2009,9,2009.7068,384.65,388.07
2009,10,2009.789,384.33,387.88
2009,11,2009.874,386.05,388.28
2009,12,2009.9562,387.49,388.41
2010,1,2010.0411,388.55,388.53
2010,2,2010.126,390.07,389.35
2010,3,2010.2027,391.01,389.48
2010,4,2010.2877,392.38,389.62
2010,5,2010.3699,393.22,389.89
2010,6,2010.4548,392.24,389.71
2010,7,2010.537,390.33,389.51
2010,8,2010.6219,388.52,390.01
2010,9,2010.7068,386.84,390.26
2010,10,2010.789,387.16,390.72
2010,11,2010.874,388.67,390.91
2010,12,2010.9562,389.81,390.74
2011,1,2011.0411,391.3,391.27
2011,2,2011.126,391.92,391.2
2011,3,2011.2027,392.45,390.92
2011,4,2011.2877,393.37,390.6
2011,5,2011.3699,394.28,390.95
2011,6,2011.4548,393.69,391.16
2011,7,2011.537,392.6,391.77
2011,8,2011.6219,390.21,391.7
2011,9,2011.7068,389,392.44
2011,10,2011.789,388.93,392.5
2011,11,2011.874,390.24,392.49
2011,12,2011.9562,391.8,392.73
2012,1,2012.041,393.07,393.05
2012,2,2012.1257,393.35,392.63
2012,3,2012.2049,394.36,392.79
2012,4,2012.2896,396.43,393.62
2012,5,2012.3716,396.87,393.52
2012,6,2012.4563,395.88,393.36
2012,7,2012.5383,394.52,393.72
2012,8,2012.623,392.54,394.06
2012,9,2012.7077,391.13,394.58
2012,10,2012.7896,391.01,394.59
2012,11,2012.8743,392.95,395.2
2012,12,2012.9563,394.34,395.27
2013,1,2013.0411,395.61,395.58
2013,2,2013.126,396.85,396.12
2013,3,2013.2027,397.26,395.71
2013,4,2013.2877,398.35,395.56
2013,5,2013.3699,399.98,396.62
2013,6,2013.4548,398.87,396.32
2013,7,2013.537,397.37,396.54
2013,8,2013.6219,395.41,396.91
2013,9,2013.7068,393.39,396.85
2013,10,2013.789,393.7,397.29
2013,11,2013.874,395.19,397.46
2013,12,2013.9562,396.82,397.76
2014,1,2014.0411,397.93,397.9
2014,2,2014.126,398.1,397.37
2014,3,2014.2027,399.47,397.92
2014,4,2014.2877,401.33,398.53
2014,5,2014.3699,401.88,398.51
2014,6,2014.4548,401.31,398.75
2014,7,2014.537,399.07,
2014,8,2014.6219,397.21,398.72
2014,9,2014.7068,395.4,398.87
2014,10,2014.789,395.65,399.25
2014,11,2014.874,397.22,399.5
2014,12,2014.9562,398.79,399.73
2015,1,2015.0411,399.85,399.83
2015,2,2015.126,400.31,399.57
2015,3,2015.2027,401.51,399.96
2015,4,2015.2877,403.45,400.64
2015,5,2015.3699,404.11,400.73
2015,6,2015.4548,402.88,400.31
2015,7,2015.537,401.6,400.76
2015,8,2015.6219,399,400.51
2015,9,2015.7068,397.5,400.98
2015,10,2015.789,398.28,401.9
2015,11,2015.874,400.24,402.52
2015,12,2015.9562,,402.83
2016,1,2016.041,402.65,402.62
2016,2,2016.1257,404.16,403.42
2016,3,2016.2049,404.86,403.27
2016,4,2016.2896,407.57,404.73
2016,5,2016.3716,407.65,404.26
2016,6,2016.4563,407,404.46
2016,7,2016.5383,404.5,403.69
2016,8,2016.623,402.24,403.78
2016,9,2016.7077,401.01,404.52
2016,10,2016.7896,401.5,405.12
2016,11,2016.8743,403.64,405.92
2016,12,2016.9563,404.55,405.49
